age,tenure,monthly_charges,total_charges,num_products,contract_type,payment_method,internet_service,online_security,senior_citizen,target
27,17.0,104.27,1772.59,1,Month-to-month,Electronic check,Fiber optic,No,1,1
25,20.0,80.71,1614.2,1,Month-to-month,Electronic check,Fiber optic,No,0,1
24,16.0,107.58,1721.28,1,Month-to-month,Credit card,Fiber optic,No,0,1
31,11.0,100.9,1109.9,2,Month-to-month,Electronic check,Fiber optic,No,1,1
34,19.0,115.2,2188.8,2,Month-to-month,Electronic check,Fiber optic,No,0,1
26,8.0,113.92,911.36,1,Two year,Electronic check,Fiber optic,No,0,1
18,18.0,87.15,1568.7,1,Month-to-month,Electronic check,No,No,0,1
25,4.0,82.45,329.8,2,Month-to-month,Electronic check,Fiber optic,No,0,1
24,10.0,71.46,714.6,2,Month-to-month,Credit card,Fiber optic,No,0,1
30,15.0,96.67,1450.05,2,Month-to-month,Electronic check,Fiber optic,No,0,1
25,0.0,70.67,0.0,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
34,18.0,94.76,1705.68,2,Month-to-month,Electronic check,Fiber optic,No,1,1
29,12.0,87.05,1044.6,1,Month-to-month,Electronic check,Fiber optic,No,0,0
25,12.0,86.39,1036.68,1,Month-to-month,Electronic check,Fiber optic,No,1,1
32,22.0,113.48,2496.56,2,Month-to-month,Electronic check,Fiber optic,No,1,1
34,7.0,107.69,753.83,1,Month-to-month,Electronic check,Fiber optic,No,0,1
34,3.0,103.32,309.96,2,Month-to-month,Electronic check,Fiber optic,No,1,1
28,3.0,91.96,275.88,2,Two year,Electronic check,Fiber optic,Yes,0,1
27,19.0,98.62,1873.78,1,Month-to-month,Credit card,Fiber optic,No,0,1
23,9.0,100.3,902.7,1,Month-to-month,Electronic check,Fiber optic,No,1,1
26,16.0,85.3,1364.8,1,Month-to-month,Electronic check,Fiber optic,No,0,1
21,1.0,110.52,110.52,1,Month-to-month,Electronic check,Fiber optic,No,0,1
33,17.0,75.5,1283.5,1,Month-to-month,Electronic check,Fiber optic,No,0,1
26,21.0,74.76,1569.96,1,Month-to-month,Credit card,Fiber optic,No,0,1
29,5.0,71.96,359.8,2,Month-to-month,Electronic check,Fiber optic,Yes,1,0
23,22.0,115.73,2546.06,2,Two year,Electronic check,Fiber optic,No,0,1
22,1.0,84.66,84.66,1,Month-to-month,Electronic check,Fiber optic,No,0,1
32,8.0,73.86,590.88,2,Month-to-month,Electronic check,Fiber optic,No,0,1
34,6.0,101.24,607.44,2,Month-to-month,Electronic check,Fiber optic,No,0,1
26,7.0,102.08,714.56,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
24,15.0,80.45,1206.75,1,Month-to-month,Electronic check,Fiber optic,No,0,1
22,18.0,118.75,2137.5,1,Month-to-month,Electronic check,Fiber optic,No,1,1
25,9.0,81.59,734.31,2,Month-to-month,Electronic check,Fiber optic,No,0,1
23,5.0,91.11,455.55,2,Month-to-month,Electronic check,Fiber optic,No,0,1
31,6.0,98.39,590.34,2,One year,Electronic check,Fiber optic,No,0,1
26,9.0,103.71,933.39,2,Month-to-month,Credit card,Fiber optic,Yes,0,1
19,9.0,89.86,808.74,2,Month-to-month,Electronic check,Fiber optic,No,0,1
28,24.0,79.55,1909.2,2,Month-to-month,Electronic check,Fiber optic,No,0,1
34,18.0,91.46,1646.28,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
21,10.0,92.65,926.5,2,Month-to-month,Electronic check,Fiber optic,No,1,1
28,6.0,104.25,625.5,2,Month-to-month,Electronic check,Fiber optic,No,0,1
29,0.0,117.13,0.0,2,Month-to-month,Electronic check,Fiber optic,No,0,1
30,13.0,117.84,1531.92,2,Month-to-month,Credit card,Fiber optic,No,0,1
27,0.0,118.17,0.0,2,Month-to-month,Credit card,Fiber optic,Yes,1,1
31,10.0,93.12,931.2,1,Month-to-month,Electronic check,Fiber optic,No,0,1
24,5.0,80.54,402.7,2,Month-to-month,Credit card,Fiber optic,No,1,1
27,24.0,96.89,2325.36,2,Month-to-month,Electronic check,Fiber optic,No,0,1
32,24.0,86.58,2077.92,1,Two year,Electronic check,Fiber optic,No,1,1
31,21.0,94.18,1977.78,1,Month-to-month,Electronic check,Fiber optic,Yes,0,0
25,12.0,99.82,1197.84,1,One year,Electronic check,Fiber optic,No,0,1
33,18.0,106.33,1913.94,1,Month-to-month,Electronic check,Fiber optic,No,0,1
30,10.0,99.6,996.0,1,Month-to-month,Electronic check,Fiber optic,No,1,1
32,13.0,85.81,1115.53,2,Month-to-month,Electronic check,Fiber optic,Yes,1,1
31,2.0,119.77,239.54,1,Month-to-month,Electronic check,Fiber optic,Yes,1,1
29,9.0,87.86,790.74,1,Month-to-month,Electronic check,Fiber optic,No,0,1
24,12.0,119.39,1432.68,2,Month-to-month,Electronic check,Fiber optic,No,0,1
19,16.0,82.08,1313.28,2,Month-to-month,Credit card,Fiber optic,No,0,1
24,8.0,81.75,654.0,2,Month-to-month,Electronic check,Fiber optic,No,1,1
25,21.0,110.32,2316.72,1,Month-to-month,Credit card,Fiber optic,No,1,1
33,7.0,85.69,599.83,1,Month-to-month,Electronic check,Fiber optic,Yes,1,1
25,3.0,70.97,212.91,1,Month-to-month,Electronic check,Fiber optic,No,0,1
33,21.0,89.47,1878.87,2,Month-to-month,Credit card,Fiber optic,No,1,1
23,0.0,118.86,0.0,2,Month-to-month,Credit card,Fiber optic,No,1,1
25,10.0,71.75,717.5,1,Month-to-month,Electronic check,Fiber optic,No,1,1
30,11.0,88.15,969.65,1,Month-to-month,Electronic check,Fiber optic,No,1,1
18,0.0,96.13,0.0,1,Month-to-month,Electronic check,Fiber optic,No,0,1
22,6.0,101.25,607.5,1,Month-to-month,Electronic check,Fiber optic,No,0,1
25,20.0,83.28,1665.6,1,Month-to-month,Electronic check,Fiber optic,No,0,1
27,22.0,107.89,2373.58,1,Month-to-month,Electronic check,Fiber optic,No,0,1
34,10.0,103.73,1037.3,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
33,6.0,114.67,688.02,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
18,6.0,118.23,709.38,1,Month-to-month,Electronic check,Fiber optic,No,1,1
28,22.0,91.37,2010.14,1,One year,Electronic check,Fiber optic,No,0,1
18,23.0,75.95,1746.85,1,Two year,Credit card,Fiber optic,No,0,1
31,12.0,78.91,946.92,2,Month-to-month,Electronic check,Fiber optic,No,0,1
33,11.0,105.7,1162.7,2,Month-to-month,Electronic check,Fiber optic,No,0,1
25,20.0,92.51,1850.2,1,Month-to-month,Electronic check,Fiber optic,No,1,1
20,7.0,97.16,680.12,2,Month-to-month,Electronic check,No,Yes,1,1
20,11.0,119.77,1317.47,2,Month-to-month,Electronic check,Fiber optic,Yes,1,1
22,11.0,108.45,1192.95,1,One year,Credit card,Fiber optic,No,1,1
30,17.0,83.73,1423.41,1,Two year,Electronic check,Fiber optic,Yes,0,1
29,1.0,118.98,118.98,1,Month-to-month,Electronic check,Fiber optic,Yes,1,1
31,24.0,85.87,2060.88,1,Month-to-month,Electronic check,Fiber optic,No,1,1
31,18.0,107.96,1943.28,1,Month-to-month,Credit card,Fiber optic,No,0,1
33,4.0,88.35,353.4,2,Month-to-month,Electronic check,Fiber optic,No,1,1
18,18.0,106.34,1914.12,1,Month-to-month,Electronic check,Fiber optic,No,1,1
27,6.0,93.62,561.72,2,Two year,Electronic check,Fiber optic,No,1,1
19,10.0,93.87,938.7,1,Month-to-month,Electronic check,Fiber optic,No,1,1
24,12.0,88.57,1062.84,1,Month-to-month,Credit card,Fiber optic,No,0,1
23,17.0,96.12,1634.04,2,Month-to-month,Electronic check,Fiber optic,No,1,1
33,9.0,118.81,1069.29,2,Month-to-month,Electronic check,Fiber optic,No,0,1
26,5.0,78.98,394.9,1,Month-to-month,Electronic check,Fiber optic,No,0,0
33,20.0,113.57,2271.4,2,Month-to-month,Credit card,Fiber optic,Yes,1,1
26,2.0,70.66,141.32,2,Month-to-month,Electronic check,Fiber optic,No,1,1
23,23.0,79.51,1828.73,1,One year,Electronic check,Fiber optic,No,0,1
20,21.0,114.06,2395.26,2,One year,Electronic check,Fiber optic,No,0,1
32,14.0,115.92,1622.88,2,Month-to-month,Electronic check,Fiber optic,No,0,1
21,11.0,86.72,953.92,2,Month-to-month,Credit card,Fiber optic,No,0,1
21,3.0,80.79,242.37,1,Month-to-month,Electronic check,Fiber optic,No,1,1
19,20.0,105.6,2112.0,2,One year,Electronic check,Fiber optic,Yes,1,1
28,9.0,109.94,989.46,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
32,14.0,75.13,1051.82,1,Month-to-month,Electronic check,Fiber optic,No,1,1
20,7.0,97.2,680.4,2,Month-to-month,Electronic check,Fiber optic,No,0,1
18,15.0,78.85,1182.75,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
22,16.0,99.23,1587.68,1,One year,Electronic check,Fiber optic,No,0,1
24,0.0,107.84,0.0,1,Month-to-month,Credit card,Fiber optic,No,0,1
21,6.0,84.76,508.56,2,Month-to-month,Electronic check,Fiber optic,No,0,0
29,13.0,113.53,1475.89,1,Month-to-month,Electronic check,Fiber optic,No,0,1
27,2.0,74.86,149.72,2,Month-to-month,Credit card,Fiber optic,Yes,0,1
20,4.0,79.56,318.24,1,Month-to-month,Credit card,Fiber optic,No,1,1
28,12.0,71.02,852.24,2,Month-to-month,Credit card,Fiber optic,No,0,0
33,9.0,118.27,1064.43,2,Month-to-month,Electronic check,Fiber optic,No,0,1
34,6.0,96.5,579.0,1,Month-to-month,Credit card,Fiber optic,No,0,1
31,23.0,110.3,2536.9,1,Month-to-month,Electronic check,Fiber optic,No,1,1
21,12.0,110.34,1324.08,1,Month-to-month,Electronic check,Fiber optic,No,0,1
19,13.0,103.23,1341.99,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
29,8.0,110.44,883.52,1,Month-to-month,Electronic check,Fiber optic,No,1,1
25,8.0,89.0,712.0,2,Month-to-month,Electronic check,Fiber optic,No,1,1
32,19.0,86.24,1638.56,1,Month-to-month,Electronic check,Fiber optic,No,1,1
27,12.0,109.7,1316.4,1,Month-to-month,Credit card,Fiber optic,No,0,1
32,6.0,87.49,524.94,1,One year,Electronic check,Fiber optic,No,0,1
22,0.0,84.54,0.0,2,Month-to-month,Credit card,Fiber optic,No,0,1
18,18.0,106.7,1920.6,2,One year,Credit card,Fiber optic,Yes,1,1
23,13.0,84.96,1104.48,1,Month-to-month,Credit card,Fiber optic,No,1,1
21,2.0,109.85,219.7,2,Two year,Electronic check,Fiber optic,No,0,1
20,17.0,118.21,2009.57,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
23,19.0,80.06,1521.14,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
30,16.0,80.74,1291.84,2,Month-to-month,Electronic check,Fiber optic,No,0,1
27,24.0,88.06,2113.44,2,Month-to-month,Electronic check,Fiber optic,No,0,1
24,8.0,70.7,565.6,2,Month-to-month,Electronic check,Fiber optic,No,1,1
24,7.0,75.36,527.52,2,One year,Electronic check,Fiber optic,No,1,1
33,20.0,85.79,1715.8,1,Month-to-month,Electronic check,Fiber optic,No,0,1
34,24.0,103.12,2474.88,1,Month-to-month,Electronic check,No,No,0,1
20,18.0,108.81,1958.58,1,One year,Credit card,Fiber optic,No,0,1
29,15.0,102.21,1533.15,2,Month-to-month,Credit card,No,Yes,0,1
31,6.0,102.55,615.3,2,Month-to-month,Electronic check,No,Yes,1,1
22,14.0,109.51,1533.14,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
22,9.0,86.11,774.99,2,Month-to-month,Electronic check,Fiber optic,No,1,1
34,6.0,100.22,601.32,1,One year,Electronic check,Fiber optic,No,1,1
23,10.0,113.45,1134.5,1,Month-to-month,Electronic check,Fiber optic,No,0,1
31,16.0,75.86,1213.76,1,Month-to-month,Electronic check,Fiber optic,No,0,1
28,16.0,102.43,1638.88,1,Month-to-month,Credit card,No,Yes,1,1
31,11.0,93.09,1023.99,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
31,14.0,93.13,1303.82,2,Month-to-month,Electronic check,Fiber optic,No,0,1
24,14.0,94.53,1323.42,2,Month-to-month,Credit card,Fiber optic,Yes,0,1
23,7.0,91.08,637.56,1,Month-to-month,Electronic check,Fiber optic,No,1,1
33,11.0,106.58,1172.38,1,Month-to-month,Electronic check,Fiber optic,No,0,1
18,11.0,86.44,950.84,1,Month-to-month,Credit card,Fiber optic,No,0,1
30,19.0,82.12,1560.28,1,Month-to-month,Electronic check,Fiber optic,No,1,1
28,7.0,95.83,670.81,1,Month-to-month,Electronic check,Fiber optic,No,1,1
19,13.0,109.65,1425.45,2,Month-to-month,Electronic check,Fiber optic,No,0,1
22,12.0,111.89,1342.68,2,Month-to-month,Electronic check,Fiber optic,No,0,1
31,8.0,81.23,649.84,1,Month-to-month,Electronic check,Fiber optic,No,0,1
21,19.0,89.16,1694.04,1,Month-to-month,Electronic check,Fiber optic,No,0,1
34,7.0,82.58,578.06,2,Two year,Electronic check,Fiber optic,No,1,1
28,13.0,70.34,914.42,1,Month-to-month,Electronic check,Fiber optic,No,0,1
30,14.0,85.57,1197.98,1,Month-to-month,Credit card,Fiber optic,No,0,1
33,12.0,83.4,1000.8,2,Month-to-month,Credit card,Fiber optic,No,0,1
26,24.0,113.63,2727.12,2,Month-to-month,Credit card,Fiber optic,No,1,1
23,15.0,81.33,1219.95,2,Month-to-month,Electronic check,Fiber optic,No,1,1
33,2.0,119.92,239.84,1,Month-to-month,Electronic check,Fiber optic,No,1,1
30,0.0,74.28,0.0,1,One year,Electronic check,Fiber optic,No,0,0
26,0.0,70.06,0.0,2,Two year,Electronic check,Fiber optic,Yes,0,1
19,8.0,108.97,871.76,2,Month-to-month,Credit card,Fiber optic,No,0,1
29,11.0,82.08,902.88,2,Month-to-month,Electronic check,Fiber optic,No,1,1
18,15.0,78.73,1180.95,1,Month-to-month,Electronic check,No,No,0,1
34,4.0,117.28,469.12,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
24,5.0,115.38,576.9,1,Month-to-month,Electronic check,Fiber optic,No,1,1
23,22.0,85.48,1880.56,1,Month-to-month,Electronic check,Fiber optic,No,0,1
26,1.0,92.52,92.52,1,One year,Electronic check,Fiber optic,No,1,1
33,14.0,79.35,1110.9,2,Month-to-month,Credit card,Fiber optic,No,0,1
18,12.0,103.14,1237.68,2,Two year,Electronic check,Fiber optic,Yes,0,1
24,20.0,119.71,2394.2,1,One year,Electronic check,No,No,0,1
19,3.0,73.9,221.7,2,Month-to-month,Electronic check,Fiber optic,No,0,1
28,20.0,70.4,1408.0,2,Month-to-month,Electronic check,Fiber optic,Yes,1,1
18,15.0,71.28,1069.2,2,Month-to-month,Credit card,Fiber optic,No,1,1
30,0.0,102.97,0.0,1,Month-to-month,Electronic check,Fiber optic,No,0,1
25,15.0,87.43,1311.45,1,Month-to-month,Credit card,Fiber optic,No,0,1
28,22.0,118.7,2611.4,1,Month-to-month,Electronic check,Fiber optic,No,0,1
34,12.0,115.39,1384.68,2,Two year,Electronic check,Fiber optic,No,1,1
29,10.0,76.89,768.9,1,Month-to-month,Electronic check,Fiber optic,No,0,1
29,9.0,118.89,1070.01,2,Month-to-month,Credit card,Fiber optic,No,0,1
24,5.0,114.61,573.05,2,One year,Electronic check,Fiber optic,No,0,1
26,6.0,91.62,549.72,1,Month-to-month,Electronic check,Fiber optic,No,0,1
26,21.0,102.27,2147.67,1,Month-to-month,Electronic check,Fiber optic,No,1,1
23,10.0,98.69,986.9,1,Month-to-month,Electronic check,Fiber optic,No,0,1
31,20.0,98.36,1967.2,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
24,12.0,78.53,942.36,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
33,21.0,113.95,2392.95,2,Month-to-month,Credit card,Fiber optic,No,0,1
31,21.0,73.86,1551.06,1,One year,Electronic check,Fiber optic,No,1,1
18,22.0,112.89,2483.58,1,Month-to-month,Electronic check,Fiber optic,No,1,1
20,5.0,71.3,356.5,2,Month-to-month,Electronic check,Fiber optic,No,1,1
27,23.0,107.19,2465.37,1,Month-to-month,Credit card,Fiber optic,No,0,1
22,4.0,114.09,456.36,2,Month-to-month,Electronic check,Fiber optic,No,1,1
22,6.0,115.61,693.66,1,Month-to-month,Credit card,Fiber optic,No,1,1
30,20.0,101.19,2023.8,2,Month-to-month,Electronic check,Fiber optic,No,1,1
29,6.0,76.75,460.5,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
28,22.0,93.57,2058.54,2,Month-to-month,Electronic check,Fiber optic,No,0,1
21,1.0,85.26,85.26,1,Two year,Electronic check,Fiber optic,No,0,1
27,1.0,119.94,119.94,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
18,18.0,71.87,1293.66,2,Month-to-month,Electronic check,Fiber optic,No,1,1
27,19.0,99.39,1888.41,2,Month-to-month,Electronic check,Fiber optic,No,0,1
20,9.0,84.44,759.96,1,Two year,Electronic check,Fiber optic,No,0,1
24,2.0,83.6,167.2,1,Month-to-month,Electronic check,Fiber optic,No,0,1
32,16.0,74.62,1193.92,2,Month-to-month,Credit card,Fiber optic,Yes,1,1
32,20.0,77.46,1549.2,1,One year,Electronic check,Fiber optic,No,0,0
23,20.0,107.84,2156.8,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
30,22.0,99.21,2182.62,2,Month-to-month,Electronic check,Fiber optic,No,0,1
25,6.0,88.87,533.22,1,Month-to-month,Electronic check,No,No,0,1
26,23.0,107.21,2465.83,2,Month-to-month,Credit card,Fiber optic,Yes,0,1
18,24.0,81.95,1966.8,2,Month-to-month,Credit card,Fiber optic,No,1,1
30,4.0,97.83,391.32,2,One year,Electronic check,Fiber optic,No,0,1
30,14.0,100.31,1404.34,2,Month-to-month,Electronic check,Fiber optic,No,0,1
31,11.0,76.34,839.74,1,Month-to-month,Electronic check,Fiber optic,No,0,1
25,22.0,116.49,2562.78,1,Month-to-month,Credit card,Fiber optic,No,0,1
23,3.0,86.74,260.22,1,Month-to-month,Electronic check,Fiber optic,No,0,1
33,12.0,74.82,897.84,1,Month-to-month,Electronic check,Fiber optic,No,1,1
30,10.0,79.61,796.1,2,Month-to-month,Electronic check,Fiber optic,No,1,1
22,22.0,99.74,2194.28,1,Month-to-month,Credit card,Fiber optic,Yes,1,1
33,21.0,105.87,2223.27,1,Month-to-month,Credit card,Fiber optic,No,1,1
19,12.0,92.28,1107.36,1,Month-to-month,Electronic check,Fiber optic,No,0,0
33,21.0,77.8,1633.8,1,Month-to-month,Electronic check,Fiber optic,No,1,1
29,20.0,105.79,2115.8,2,Month-to-month,Electronic check,Fiber optic,No,0,1
29,1.0,108.34,108.34,1,Month-to-month,Electronic check,Fiber optic,No,1,1
27,9.0,96.0,864.0,2,Month-to-month,Credit card,Fiber optic,No,0,1
29,19.0,87.57,1663.83,2,Month-to-month,Electronic check,Fiber optic,No,1,1
20,0.0,105.73,0.0,1,Month-to-month,Electronic check,Fiber optic,No,0,1
29,7.0,80.5,563.5,2,Month-to-month,Electronic check,Fiber optic,No,0,1
19,18.0,74.48,1340.64,1,One year,Electronic check,Fiber optic,No,0,1
32,16.0,90.5,1448.0,2,One year,Credit card,Fiber optic,No,0,1
32,2.0,116.88,233.76,2,Month-to-month,Credit card,Fiber optic,No,1,1
31,5.0,81.66,408.3,1,Month-to-month,Electronic check,Fiber optic,No,1,1
